TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
TIMS3;11,29;5,12;16,36;1,08;0,48;50,51;14,68;7,76;8,65;8,72;0,07;0,01;1,27;-9,93;-0,59;0,79;6,58;2,96;10,24;0,45;0,55;0,38;5,81;6,24;98777067,5;10,49;0,69;-0,38;27330881653
TKNO3;69,63;9,4;3,93;0,78;0,55;23,15;17,23;15,95;3,64;3,03;-0,69;-0,15;0,63;1,59;-1,37;2,35;19,71;13,93;17,63;0,71;0,29;0,87;23,01;;;89,78;17,7;-0,35;209841599,6
TKNO4;73;8,96;4,12;0,81;0,57;23,15;17,23;15,95;3,82;3,03;-0,69;-0,15;0,66;1,67;-1,44;2,35;19,71;13,93;17,63;0,71;0,29;0,87;23,01;;11037,33;89,78;17,7;-0,37;209841599,6
TOTS3;30,06;1,03;39,39;4,18;1,75;67,48;16,13;12,42;30,33;28,98;-1,35;-0,19;4,89;6,05;-4,29;1,96;10,6;4,44;7,23;0,42;0,56;0,36;8,34;25,27;120061105,9;7,2;0,76;1,07;18552526421
TOYB3;2,29;;-43,94;-4,97;4,03;24,06;-10,7;-10,96;-45;-47,62;-0,63;;4,81;-5,93;-11,89;0,49;-11,31;-9,18;11,93;-0,81;1,81;0,84;-33,11;;;-0,46;-0,05;0,47;71890222,22
TOYB4;2,5;;-47,96;-5,43;4,4;24,06;-10,7;-10,96;-49,12;-47,62;-0,63;;5,26;-6,47;-12,98;0,49;-11,31;-9,18;11,93;-0,81;1,81;0,84;-33,11;;;-0,46;-0,05;0,52;71890222,22
TPIS3;0,85;2,2;-54,78;0,15;0,05;29,86;22,76;-0,24;0,58;7,03;6,46;1,71;0,13;-0,52;-0,05;0,4;-0,28;-0,09;6,73;0,31;0,69;0,36;-7,49;;797627,27;5,59;-0,02;0,54;149600000
TRAD3;1,34;0,02;-12,28;0,66;0,62;53,21;-82,86;-32,11;-4,76;-2,12;2,64;-0,36;3,94;1,83;-1,02;6,95;-5,35;-5,02;-17,13;0,94;0,06;0,16;;;2526199,7;2,04;-0,11;0,03;375397164,9
TRIS3;3,38;6,5;10,97;0,5;0,27;31,52;13,91;7,91;6,23;10,72;4,49;0,36;0,87;0,59;-0,73;3,93;4,6;2,5;4,07;0,54;0,43;0,32;20,68;85,86;2982502,87;6,7;0,31;-0,17;630767278,4
TRPL3;28,53;3,72;7,28;1,17;0,59;65,19;71,11;45,66;4,67;5,7;1,68;0,42;3,32;4,89;-0,69;5,29;16,07;8,05;14,19;0,5;0,48;0,18;-6,6;-12,14;57102,8;24,4;3,92;-0,23;16175756622
TRPL4;21,99;4,83;5,61;0,9;0,45;65,19;71,11;45,66;3,6;5,7;1,68;0,42;2,56;3,77;-0,53;5,29;16,07;8,05;14,19;0,5;0,48;0,18;-6,6;-12,14;43987787,7;24,4;3,92;-0,18;16175756622
TTEN3;12,35;0,12;10,74;2,18;1,01;15,15;7,81;8,3;11,42;11,82;0,4;0,08;0,89;4,04;-3,36;1,55;20,27;9,4;12,95;0,46;0,54;1,13;;;14521436,47;5,67;1,15;0,33;6138167940
TUPY3;28,32;1,59;7,94;1,31;0,46;18,24;8,02;5,33;5,28;7,27;2;0,5;0,42;1,08;-1,41;2,66;16,55;5,73;9,67;0,35;0,65;1,08;16,82;;15714980,07;21,55;3,57;0,06;4083106800
TXRX3;9,5;;-2,16;-0,12;0,16;31,51;15,99;-9,31;1,26;10,38;9,69;;0,2;-0,22;-0,34;0,42;-5,68;-7,36;-183,75;-1,3;2,3;0,79;13,47;;3132,5;-77,44;-4,4;-0,01;22161682,16
TXRX4;2,97;;-0,67;-0,04;0,05;31,51;15,99;-9,31;0,39;10,38;9,69;;0,06;-0,07;-0,11;0,42;-5,68;-7,36;-183,75;-1,3;2,3;0,79;13,47;;29049,43;-77,44;-4,4;0;22161682,16
UCAS3;2,4;7,57;4,22;0,81;0,52;34,72;12,82;14,92;4,91;4,17;-0,73;-0,12;0,63;4,4;-0,91;1,39;19,19;12,45;13,42;0,65;0,35;0,83;3,58;;128205,6;2,97;0,57;0,09;158607273,6
UGPA3;12,98;4,49;10,66;1,33;0,42;3,61;1,91;1,02;5,71;8,81;3,11;0,72;0,11;2,44;-0,86;1,53;12,45;3,99;9,54;0,32;0,67;3,9;7,24;-2,75;72287678,8;9,78;1,22;0,21;14474946578
UNIP3;76,88;16,5;4,29;2,83;1,24;46,94;41,33;23,71;2,46;2,57;-0,06;-0,07;1,02;5,04;-2,37;2,06;66,05;28,84;53,04;0,44;0,56;1,22;47,87;45,98;1874987,3;27,13;17,92;0,25;8545457025
UNIP5;89,99;15,51;5,02;3,32;1,45;46,94;41,33;23,71;2,88;2,57;-0,06;-0,07;1,19;5,9;-2,77;2,06;66,05;28,84;53,04;0,44;0,56;1,22;47,87;45,98;31000,54;27,13;17,92;0,29;8545457025
UNIP6;85,16;16,39;4,75;3,14;1,37;46,94;41,33;23,71;2,73;2,57;-0,06;-0,07;1,13;5,58;-2,62;2,06;66,05;28,84;53,04;0,44;0,56;1,22;47,87;45,98;18118496,97;27,13;17,92;0,27;8545457025
USIM3;7,66;7,47;5,94;0,37;0,24;17,49;8,21;4,98;3,6;3,96;0,42;0,04;0,3;0,64;-0,49;3,78;6,24;4,04;4,61;0,65;0,35;0,81;24,78;47,29;4287205,67;20,66;1,29;-0,07;9423284072
USIM5;7,34;8,57;5,69;0,36;0,23;17,49;8,21;4,98;3,45;3,96;0,42;0,04;0,28;0,61;-0,47;3,78;6,24;4,04;4,61;0,65;0,35;0,81;24,78;47,29;115103500,6;20,66;1,29;-0,07;9423284072
USIM6;14;4,49;10,86;0,68;0,44;17,49;8,21;4,98;6,58;3,96;0,42;0,04;0,54;1,17;-0,89;3,78;6,24;4,04;4,61;0,65;0,35;0,81;24,78;47,29;2012,4;20,66;1,29;-0,13;9423284072
VALE3;86,8;8,74;3,89;2,31;0,95;49,82;44,05;45,63;4,03;4,39;0,37;0,21;1,77;82,68;-1,15;1,07;59,45;24,49;30,46;0,41;0,57;0,54;25,41;51,64;2020746213;37,57;22,33;0,34;4,14808E+11
VAMO3;14,18;1,84;27,28;3,98;0,95;41,51;31,92;12,31;10,52;13,64;3,12;1,18;3,36;6,66;-1,44;1,72;14,58;3,48;10,39;0,24;0,76;0,28;571,04;559,46;42703495,33;3,57;0,52;0,48;14540143215
VBBR3;15,4;5,56;8,99;1,42;0,45;4,61;1,99;1,14;5,14;8,87;3,73;1,03;0,1;1,61;-0,94;2,19;15,8;5,05;9,79;0,32;0,68;4,44;8,47;;155430164,8;10,85;1,71;-0,16;17941000000
VIIA3;2,05;;-21,85;0,6;0,1;30,44;4,1;-0,5;2,65;9,18;6,54;1,47;0,11;-0,93;-0,17;0,81;-2,72;-0,44;3,93;0,16;0,84;0,89;9,29;;211009631,8;3,44;-0,09;0,01;3276784142
VITT3;11,33;3,22;11,39;3,35;1,84;37,01;20,66;15,95;8,79;9,92;1,13;0,43;1,82;6,02;-5,39;1,87;29,46;16,16;19,98;0,55;0,45;1,01;;;2404230,3;3,38;1;0,27;1620746382
VIVA3;22,12;0,24;15,82;3,75;2,04;63,71;17,61;17,71;15,91;15,37;-0,54;-0,13;2,8;5,75;-5,33;2,35;23,71;12,88;16,73;0,54;0,46;0,73;;;27085923,6;5,9;1,4;0,64;5224694650
VIVR3;0,41;;-2,93;-0,53;0,29;26,48;-67,87;-33,48;-1,44;-5,02;-3,58;;0,98;-0,55;-0,62;0,51;-17,96;-9,83;-136,48;-0,55;1,55;0,29;;;2451264,17;-0,78;-0,14;0,05;91742813,6
VIVT3;39,08;7,82;11,72;0,95;0,54;42,7;13,86;11,93;10,09;12,2;2,11;0,2;1,4;-17,75;-0,65;0,85;8,1;4,57;6,61;0,56;0,43;0,38;0,71;6,48;107763114,4;41,2;3,34;0,83;65534747631
VIVT4;45,34;;13,59;1,1;0,62;42,7;13,86;11,93;11,7;12,2;2,11;0,2;1,62;-20,59;-0,75;0,85;8,1;4,57;6,61;0,56;0,43;0,38;0,71;6,48;;41,2;3,34;0,96;65534747631
VLID3;8,87;2,97;24,45;0,57;0,23;30,15;13,6;1,4;2,51;5,02;2,51;0,57;0,34;0,98;-0,49;1,83;2,33;0,95;10,98;0,41;0,58;0,68;4,98;-19,58;2767216,03;15,56;0,36;-0,11;725888646,3
